energy,speechiness,instrumentalness,songIsLiked
370,104,7,0
203,27,0,0
766,238,0,0
169,27,914,0
561,51,0,0
675,40,0,0
427,36,929,0
522,93,66,0
315,641,0,0
481,328,0,0
752,214,0,0
711,79,0,0
267,41,534,0
458,38,0,0
330,27,2,0
733,64,11,0
461,45,0,0
100,30,913,0
473,33,0,0
373,71,525,0
806,184,0,0
429,32,0,0
671,31,3,0
872,41,0,0
786,35,0,0
637,28,23,0
594,47,0,0
542,41,0,0
608,264,0,0
696,36,1,0
284,80,0,0
372,87,849,0
645,318,0,0
266,40,0,0
851,36,351,0
875,121,0,0
824,42,0,0
285,33,938,0
535,70,0,0
852,54,0,0
425,375,130,0
815,91,893,0
475,96,143,0
317,53,0,0
252,118,926,0
473,89,0,0
644,39,0,0
521,27,371,0
585,39,1,0
661,351,0,0
480,133,848,0
863,68,0,0
711,65,16,0
664,33,867,0
483,48,0,0
789,82,0,0
632,97,24,0
609,38,0,0
128,109,121,0
303,126,159,0
619,275,6,0
138,31,881,0
601,90,0,0
317,32,0,0
803,299,0,0
762,38,0,0
580,50,0,0
406,56,911,0
596,35,860,0
714,134,0,0
345,30,0,0
922,67,0,0
209,72,0,0
660,33,403,0
446,198,215,0
898,32,2,0
532,31,0,0
533,49,0,0
663,35,39,0
800,49,0,0
504,31,0,0
344,115,0,0
677,311,0,0
320,173,134,0
573,96,0,0
27,50,931,0
569,58,0,0
407,51,930,0
604,435,0,0
735,58,122,0
126,34,865,0
604,86,0,0
767,50,0,0
591,27,0,0
670,58,908,0
355,33,0,0
340,35,929,0
634,64,0,0
299,26,0,0
317,36,0,0
557,298,0,0
453,124,0,0
75,37,819,0
802,56,0,0
658,34,0,0
815,30,0,0
502,34,0,0
492,52,0,0
441,66,453,0
305,53,0,0
531,76,0,0
571,46,1,0
635,347,0,0
779,180,0,0
755,60,0,0
638,33,0,0
657,183,0,0
677,59,0,0
800,53,24,0
229,88,909,0
246,53,878,0
658,237,0,0
830,35,0,0
472,113,0,0
658,53,0,0
518,153,715,1
595,31,0,1
837,65,851,1
603,226,0,1
615,68,0,1
687,45,949,1
939,54,0,1
259,368,872,1
641,71,784,1
407,59,890,1
372,87,0,1
588,283,0,1
495,68,860,1
198,54,907,1
684,177,0,1
943,53,18,1
609,36,0,1
53,39,28,1
402,91,908,1
768,34,905,1
489,292,0,1
7,38,6,1
715,55,49,1
655,25,0,1
909,61,36,1
855,438,0,1
792,79,0,1
707,113,0,1
807,33,17,1
244,39,957,1
245,121,927,1
484,38,0,1
755,43,0,1
84,39,0,1
335,32,18,1
238,30,0,1
541,26,2,1
750,143,0,1
922,83,0,1
682,75,0,1
613,145,3,1
931,96,1,1
615,283,0,1
697,32,872,1
711,33,0,1
525,94,0,1
715,265,0,1
699,146,19,1
480,50,11,1
597,355,0,1
9,57,60,1
814,46,0,1
216,365,884,1
846,31,0,1
527,84,0,1
920,62,2,1
647,166,0,1
315,29,0,1
842,39,0,1
344,407,0,1
373,67,902,1
562,46,0,1
559,103,0,1
648,222,0,1
67,36,806,1
795,36,19,1
788,398,0,1
10,51,924,1
883,42,99,1
648,25,0,1
472,36,0,1
359,83,937,1
644,25,0,1
117,35,756,1
765,28,873,1
720,422,0,1
172,33,818,1
565,348,0,1
343,27,0,1
741,71,0,1
861,65,28,1
116,36,920,1
87,200,973,1
84,31,962,1
793,346,0,1
485,331,0,1
499,62,773,1
377,36,945,1
100,31,258,1
748,31,0,1
169,33,873,1
870,114,148,1
671,315,0,1
58,44,0,1
160,37,0,1
483,194,0,1
318,31,0,1
697,142,0,1
458,68,0,1
322,37,853,1
248,171,929,1
185,40,0,1
538,102,0,1
274,94,596,1
432,33,0,1
441,330,57,1
535,163,0,1
761,44,148,1
888,74,1,1
751,47,801,1
952,52,85,1
744,50,0,1
841,60,55,1
470,51,0,1
295,39,859,1
514,43,903,1
606,296,0,1
371,58,882,1
399,45,815,1
864,59,0,1
449,196,38,1
323,35,22,1
445,417,0,1
172,32,936,1
547,62,743,1
