trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,634,844,10000,-3809,42,76,0,90,246,85036
1,879,875,10000,-1868,180,80,0,327,763,95021
1,585,647,2000,-5872,324,259,0,239,167,92887
1,766,774,4000,-3840,246,480,0,100,831,180033
1,831,760,0,-8238,76,121,0,75,962,114969
1,872,681,0,-4348,110,46,0,129,481,96986
1,752,554,0,-5214,92,296,0,99,921,76010
1,884,718,1000,-3002,100,478,0,98,723,104053
1,858,743,5000,-5313,84,40,0,99,906,110024
1,714,725,7000,-5548,205,111,0,89,589,89972
1,790,606,4000,-6142,46,63,0,80,763,117947
1,801,790,6000,-4132,67,199,0,130,638,97931
1,783,734,1000,-4796,46,433,0,133,682,119986
1,774,776,8000,-5361,136,276,0,110,881,151958
1,702,666,6000,-4686,125,73,0,182,846,176180
1,847,609,2000,-3314,66,184,0,141,551,93983
1,694,830,0,-3286,103,147,0,82,708,173867
1,865,785,4000,-4132,120,46,0,110,360,92027
1,853,531,1000,-6841,202,568,0,123,377,95018
1,657,785,10000,-6040,137,382,0,218,569,179936
1,655,692,8000,-4697,263,316,30,141,496,102055
1,723,829,1000,-3753,79,396,0,156,893,164040
1,934,764,7000,-3526,62,53,1,235,667,98013
1,708,737,1000,-4045,43,73,1,95,607,91986
1,810,635,4000,-6953,58,96,0,114,252,126071
1,885,698,7000,-3338,66,260,0,52,505,108032
